Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
77.73999786,-6.962146529,-0.00488,0.119559065,32.45914827,0.043917207
77.76000214,-6.969150963,-0.00244,0.117117206,32.50334212,0.036600001
77.77999878,-6.976152725,0.00976,0.109799996,32.54751911,0.036600001
77.79999542,-6.983154486,-0.00732,0.095159069,32.5916961,0.03416093
77.81999969,-6.987985256,-0.00488,0.092722794,32.36773972,0.03659814
77.83999634,-6.992813353,-0.00976,0.100039996,32.14376648,0.031719998
77.86000061,-6.997643293,0.00488,0.10492,31.9197078,0.034159999
77.87999725,-7.002471391,-0.00244,0.109804649,31.69573456,0.031720928
77.90000153,-7.007301331,-0.00976,0.121991619,31.47167587,0.034161861
77.91999817,-7.012129428,-0.00244,0.100039996,31.24770264,0.039039999
77.94000244,-7.016959368,-0.00488,0.097599998,31.02364395,0.034159999
77.95999908,-7.021787466,-0.0122,0.082963717,30.79967072,0.031720928
77.97999573,-7.026615563,0.00244,0.092720002,30.57569748,0.034159999
78,-7.031445503,-0.01464,0.109799996,30.35163879,0.036600001
78.01999664,-7.033230271,-0.034159999,0.117115345,30.47722807,0.036599071
78.04000092,-7.035015719,-0.00732,0.10492,30.60286527,0.03416093
78.05999756,-7.036800487,0.0122,0.10492,30.72845454,0.036600001
78.08000183,-7.038585935,-0.026839999,0.102479994,30.85409174,0.034159999
78.09999847,-7.040370703,0.0122,0.095172098,30.97968102,0.034159999
78.11999512,-7.04215547,-0.00488,0.12687999,31.10527029,0.034159999
78.13999939,-7.043940919,-0.026839999,0.109799996,31.23090749,0.034159999
78.15999603,-7.045725686,-0.00732,0.129308829,31.35649676,0.03416093
78.18000031,-7.047511135,0.00732,0.100041857,31.48213396,0.036599071
78.19999695,-7.049295902,0.01464,0.10492,31.60772324,0.034159999
78.22000122,-7.051081215,0,0.09516,31.57861265,0.039039999
78.23999786,-7.052865846,-0.0244,0.11712372,31.54951318,0.034159069
78.26000214,-7.054651158,-0.00244,0.126877198,31.5204026,0.031719998
78.27999878,-7.05643579,-0.00976,0.119559996,31.49130312,0.031719998
78.29999542,-7.058220421,-0.00976,0.124430694,31.46220364,0.036599071
78.31999969,-7.060005733,0,0.100037204,31.43309306,0.03416093
78.33999634,-7.061790364,-0.00244,0.092720002,31.40399358,0.036600001
78.36000061,-7.063575677,-0.00488,0.107359998,31.374883,0.034159999
78.37999725,-7.065360308,0.00244,0.107361859,31.34578352,0.034159999
78.40000153,-7.06714562,-0.00244,0.11223721,31.31667294,0.034159999
78.41999817,-7.06806134,-0.00732,0.10492,31.43317062,0.034159999
78.44000244,-7.068977077,0,0.097599998,31.54976835,0.036600001
78.45999908,-7.069892464,-0.00732,0.100037204,31.66632161,0.034159069
78.47999573,-7.070807852,-0.00976,0.092720002,31.78287486,0.031719998
78.5,-7.071723589,-0.00732,0.0854,31.89947259,0.034159999
78.51999664,-7.072638976,-0.00976,0.104921861,32.01602585,0.03416093
78.54000092,-7.073554713,-0.00732,0.109801857,32.13262357,0.036599071
78.55999756,-7.074470101,-0.00488,0.11468,32.24917683,0.034159999
78.58000183,-7.075385838,-0.00488,0.109799996,32.36577456,0.036600001
78.59999847,-7.076301225,-0.0122,0.107351623,32.48232781,0.031720928
78.61999512,-7.07678197,-0.00488,0.0854,32.48644725,0.034159999
78.63999939,-7.077262732,-0.00732,0.090279996,32.49052534,0.034159999
78.65999603,-7.07774331,-0.00732,0.112240932,32.49460186,0.034159999
78.68000031,-7.078224072,-0.00732,0.114681861,32.49867994,0.034158138
78.69999695,-7.078704651,-0.00488,0.119559996,32.50275647,0.029279999
78.72000122,-7.079185412,-0.00732,0.102479994,32.50683455,0.031719998
78.73999786,-7.079665991,-0.00488,0.100037204,32.51091108,0.034159069
78.76000214,-7.080146753,0.0122,0.092720933,32.51498916,0.031719998
78.77999878,-7.080627331,-0.00244,0.09516,32.51906569,0.031719998
78.79999542,-7.08110791,-0.01952,0.117112553,32.52314221,0.031719998
78.81999969,-7.08115391,-0.01708,0.097601859,32.44213082,0.031721859
78.83999634,-7.081199727,0.01464,0.102479994,32.36111787,0.036600001
78.86000061,-7.081245562,-0.034159999,0.097599998,32.28007401,0.029279999
78.87999725,-7.081291379,0.01708,0.090279996,32.19906106,0.031720928
78.90000153,-7.081337214,-0.01464,0.090286511,32.1180172,0.034159999
78.91999817,-7.081383031,-0.029279999,0.107359998,32.03700425,0.034159999
78.94000244,-7.081428865,-0.0122,0.10492,31.95596039,0.031719998
78.95999908,-7.081474682,-0.00732,0.107359998,31.87494744,0.036599071
78.97999573,-7.081520499,0.00976,0.107359998,31.79393448,0.034159999
79,-7.081566334,-0.034159999,0.102479994,31.71289063,0.036600001
79.01999664,-7.074221588,-0.0122,0.109791621,31.71959031,0.03416093
79.04000092,-7.066874039,-0.00488,0.087846512,31.72629255,0.036597209
79.05999756,-7.059529293,-0.00244,0.10492,31.73299223,0.029279999
79.08000183,-7.052181744,-0.01952,0.10492,31.73969447,0.034159999
79.09999847,-7.044836998,-0.01952,0.112235349,31.74639416,0.029281861
79.11999512,-7.037492252,-0.00732,0.100039996,31.75309384,0.034159999
79.13999939,-7.030144703,-0.0122,0.090279996,31.75979608,0.034159999
79.15999603,-7.022799957,-0.00976,0.112245585,31.76649577,0.034159999
79.18000031,-7.015452408,-0.00244,0.126878129,31.77319801,0.034159999
79.19999695,-7.008107662,-0.01952,0.121999994,31.77989769,0.034159999
79.22000122,-7.00858834,-0.0122,0.100039996,31.7375933,0.034159999
79.23999786,-7.009068834,-0.01464,0.092712557,31.69530505,0.029281861
79.26000214,-7.009549511,-0.00488,0.073206516,31.65300066,0.034159999
79.27999878,-7.010030006,-0.00976,0.090279996,31.6107124,0.034159999
79.29999542,-7.0105105,-0.01952,0.073208378,31.56842415,0.026838138
79.31999969,-7.010991177,-0.0244,0.095153486,31.52611976,0.021962791
79.33999634,-7.011471671,-0.0122,0.078079998,31.4838315,0.029279999
79.36000061,-7.011952349,-0.01952,0.07564,31.44152711,0.036600001
79.37999725,-7.012432843,-0.029279999,0.063445579,31.39923886,0.031720928
79.40000153,-7.012913521,-0.01464,0.078089304,31.35693447,0.034159069
79.41999817,-7.015132481,-0.0122,0.102479994,31.33543762,0.031719998
79.44000244,-7.017352953,-0.034159999,0.102479994,31.3139405,0.034159999
79.45999908,-7.019572577,-0.02196,0.087850235,31.29245159,0.039033485
79.47999573,-7.021792201,-0.01952,0.11468,31.27096267,0.02196
79.5,-7.024012672,-0.02196,0.100039996,31.24946556,0.01952
79.51999664,-7.026232297,0.00244,0.09516,31.22797664,0.01952
79.54000092,-7.028452768,-0.029279999,0.095170236,31.20647953,0.019519069
79.55999756,-7.030672392,-0.039039999,0.121999994,31.18499061,0.01708
79.58000183,-7.032892863,-0.046360001,0.100039996,31.1634935,0.02196
79.59999847,-7.035112488,-0.0122,0.082964648,31.14200458,0.024399069
79.61999512,-7.035159134,0.00488,0.09516,31.07676063,0.02196
79.63999939,-7.035204969,-0.041479997,0.090279996,31.01147507,0.02196
79.65999603,-7.035250786,0.00976,0.100039996,30.94621442,0.021959069
79.68000031,-7.03529662,-0.034159999,0.100041857,30.88092886,0.01952093
79.69999695,-7.035342437,-0.01708,0.10492,30.81566821,0.02196
79.72000122,-7.035388272,0.00976,0.090279996,30.75038266,0.02196
79.73999786,-7.035434089,0.00488,0.087839068,30.685122,0.02196
79.76000214,-7.035479924,-0.00488,0.085402792,30.61983645,0.021959069
79.77999878,-7.035525741,-0.00244,0.092720002,30.55457579,0.01952
79.79999542,-7.035571558,0.00244,0.087847443,30.48931514,0.021959069
79.81999969,-7.036052154,-0.02196,0.107353484,30.52770314,0.01952093
79.83999634,-7.036532732,-0.0122,0.090279996,30.56611605,0.02196
79.86000061,-7.037013494,-0.01708,0.073200002,30.60454362,0.01952
79.87999725,-7.037494073,-0.00732,0.070766511,30.64295652,0.02196
79.90000153,-7.037974834,-0.0122,0.087838137,30.68138409,0.02196
79.91999817,-7.038455413,-0.01464,0.082959995,30.71979699,0.02196
79.94000244,-7.038936175,-0.01464,0.09516,30.75822456,0.01952
79.95999908,-7.039416753,-0.00244,0.100034413,30.79663746,0.02440093
79.97999573,-7.039897332,-0.01464,0.0854,30.83505037,0.026839999
80,-7.040378094,-0.00732,0.07564,30.87347794,0.029279999
80.01999664,-7.040858672,-0.00488,0.073204655,30.9273403,0.034158138
80.04000092,-7.041339434,-0.01952,0.085409306,30.98122321,0.02928093
80.05999756,-7.041820013,-0.01464,0.109799996,31.03508557,0.031719998
80.08000183,-7.042300774,-0.00976,0.09516,31.08896849,0.034159999
80.09999847,-7.042781353,-0.01708,0.082959064,31.14283085,0.034159999
80.11999512,-7.043261932,-0.01708,0.080519997,31.19669321,0.034159999
80.13999939,-7.043742693,-0.00244,0.090279996,31.25057612,0.034159999
80.15999603,-7.044223272,-0.0122,0.090283719,31.30443849,0.029279999
80.18000031,-7.044704034,-0.00732,0.100040927,31.3583214,0.02928093
80.19999695,-7.045184612,-0.00976,0.102479994,31.41218376,0.031719998
80.22000122,-7.045230539,-0.00976,0.090279996,31.40194813,0.031719998
80.23999786,-7.045276448,-0.01708,0.097594415,31.3917164,0.034159999
80.26000214,-7.045322374,-0.00732,0.082965578,31.38148077,0.034159069
80.27999878,-7.045368283,-0.00976,0.097599998,31.37124904,0.031719998
80.29999542,-7.045414192,-0.031719998,0.10004651,31.36101732,0.036594418
80.31999969,-7.045460118,-0.00976,0.117125581,31.35078168,0.021959069
