Actual TTD,Predicted TTD
36.23999863,35.77336
60.75999939,59.186897
42.39999847,43.45999
20.00000458,14.2982855
0.0,-0.033294678
25.14,22.139053
0.0,0.597208
49.08000137,50.716545
25.93999817,23.447958
25.66000061,27.594671
0.0,-0.023135185
36.33999893,41.777412
6.85999786,7.407194
20.58000458,20.54924
38.31999893,31.152313
30.91999893,44.341873
56.73999954,67.396324
57.11999962,60.147095
0.0,0.42114353
37.92000076,29.341276
0.0,0.5240712
59.53999878,71.43082
14.11999924,23.272417
47.39999878,42.057198
61.02000023,67.562355
13.28000427,31.652983
67.77999802,63.28241
23.42000183,29.275837
34.34000092,37.582443
54.95999985,34.847946
42.41999893,56.696693
0.0,0.2240467
49.38000061,50.968323
34.52000153,36.94787
0.0,0.12287235
18.54000031,21.862083
0.0,0.22742558
7.72000305,21.019966
13.54000015,22.601496
27.58000168,55.638504
1.68000305,6.010648
32.89999847,28.0445
79.51999931,69.0421
39.93999924,53.66883
0.0,0.23625326
32.82000122,33.12648
0.0,0.10093403
0.0,0.51328564
55.95999985,65.42302
15.00000061,22.793886
46.92000137,47.387505
46.75999985,46.804596
0.0,-0.03379488
60.01999893,50.956123
19.43999969,15.127875
15.16000015,23.864182
0.0,0.09009743
71.95999992,57.779785
44.59999924,40.857246
0.0,0.28970432
40.67999954,37.200336
77.06000061,57.022453
0.0,0.35440063
0.63999878,0.5020232
0.0,0.100482464
0.0,0.1330967
0.0,0.5507612
56.23999908,71.90403
29.26000061,23.032053
69.52000008,60.783394
25.71999817,26.044928
0.0,-0.00790596
2.42000366,6.5454335
0.0,-0.050125122
1.85999908,10.615101
6.13999878,17.504787
9.16000305,13.965221
0.0,0.7808552
0.0,-0.14496422
33.56000061,29.715712
0.0,0.0037136078
0.0,-0.04956436
7.32000122,8.200307
15.68000336,16.513083
0.0,-0.018445015
33.46000076,41.700127
70.16000061,56.613884
0.0,-0.010320663
1.69999969,6.03994
8.82000427,11.760626
84.91999855,71.28709
0.0,0.003592968
62.2,58.447823
0.0,0.22269154
0.0,-0.117893696
37.01999924,36.541225
53.31999908,51.839943
25.52000168,23.195057
0.0,0.1401596
76.79999878,71.425415
43.55999985,50.34812
0.0,-0.109101295
42.18000061,57.324486
0.0,0.12139845
83.81999931,71.35266
10.28000031,11.312954
80.18000023,72.94664
30.72000076,29.057018
0.0,0.22749424
29.91999893,29.954462
15.91999985,27.372993
66.5999992,71.25513
0.0,0.1324749
26.58000366,18.500027
65.56000061,59.996826
75.72000008,66.566666
108.1199991,73.25152
31.74000275,29.841501
0.0,-0.024681091
37.10000153,29.997408
17.04000366,17.083324
0.0,0.54373837
0.0,-0.0028934479
0.0,0.24766254
42.31999847,40.045258
11.76000015,15.558074
23.32000458,22.28699
5.78000061,3.2430892
48.58000076,36.34297
0.0,0.7750969
0.0,0.14091969
0.90000458,2.0568771
39.90000031,28.859549
71.97999928,71.69828
0.0,0.28335238
104.3599998,71.59088
15.15999878,16.373337
0.0,2.4194794
85.63999855,71.925606
77.35999985,70.58079
0.0,0.5805917
0.0,0.055891037
23.64000168,11.776048
0.0,-0.0038342476
0.0,0.2943673
0.0,-0.035427094
0.0,0.17315292
52.01999969,41.40349
43.24000275,25.61429
12.94000122,10.798222
56.61999832,54.143326
22.10000153,22.069256
41.36,71.52589
24.76000153,29.068726
28.78000366,24.076204
7.31999817,8.053337
0.0,-0.05080414
29.05999985,23.11521
75.40000038,67.21843
0.0,-0.05575943
0.0,0.10811186
30.22000427,25.25842
48.22000046,34.977264
0.0,-0.035987377
16.18000336,21.854252
73.2199987,63.80417
69.81999924,63.6082
0.0,0.082520485
6.82000031,0.15066004
10.30000092,10.59404
78.49999939,68.566
9.24000275,8.976391
0.0,-0.009754181
75.57999878,68.20291
0.0,40.02266
7.05999939,7.422799
51.49999924,49.61738
79.57999947,71.81875
27.35999756,23.723928
0.0,-0.052212715
0.0,-0.12792873
0.0,-0.034448624
57.31999905,69.49896
60.65999908,71.831474
0.0,0.13734055
67.57999908,46.2388
44.70000183,42.088203
0.0,0.017020226
27.17999908,24.503206
15.74000244,8.688192
1.63999924,0.66609573
28.36000366,23.972815
10.10000397,9.422532
15.57999924,16.474686
0.0,0.34148216
0.0,-0.05190134
0.0,-0.01306057
10.34000092,9.608951
0.48000214,2.5596285
77.19999962,44.25727
13.93999924,25.203585
4.06000061,21.788797
68.83999954,61.071823
0.0,0.09457207
59.99999935,71.61194
0.0,0.4355383
32.93999985,34.915462
0.0,0.6571779
12.20000198,10.93836
57.18000183,57.971275
0.0,-0.069226265
23.17999878,21.430593
11.64000244,11.227703
50.01999931,67.77022
0.0,-0.014041901
46.93999939,44.351936
0.0,-0.0024251938
2.50000305,28.247187
58.67999924,52.061203
21.39999847,15.944496
10.76000488,13.824998
4.92000122,8.088802
24.28000107,21.094307
77.54000015,63.219612
0.0,0.20213032
63.03999863,60.19483
48.83999893,47.96354
0.0,-0.05410862
7.22000153,10.919094
0.0,-0.10179281
4.68000092,1.7691917
21.42000427,19.331715
39.09999908,54.308228
0.0,0.28094196
0.0,-0.13104248
71.56000023,57.372955
48.82000046,42.749428
81.11999969,71.404884
0.0,0.61061287
0.0,0.17002296
27.47999893,57.28363
78.07999947,71.58477
48.46000214,36.069786
108.0799991,71.215096
0.0,0.35784912
2.76,8.176468
20.91999878,24.923222
1.43999786,42.655792
0.0,-0.17877626
15.06000061,15.316679
