Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
87.37999725,4.222239431,-0.00488,0.090280927,4927.522185,0.031721859
87.40000153,4.222893465,-0.00732,0.092720002,5364.452012,0.03659814
87.41999817,4.223112705,-0.0122,0.092720002,4882.127229,0.031719998
87.43999481,4.223331778,-0.00732,0.095157208,4399.451649,0.031720928
87.45999908,4.223550935,-0.0122,0.087846512,3916.591911,0.034159999
87.47999573,4.223770008,-0.00976,0.10492,3433.916331,0.034159999
87.5,4.223989165,-0.00244,0.0854,2951.056594,0.034159999
87.51999664,4.224208238,-0.01464,0.082962786,2468.381013,0.036597209
87.54000092,4.224427395,-0.00976,0.090279066,1985.521276,0.029282791
87.55999756,4.224646468,0,0.087839998,1502.845695,0.036600001
87.58000183,4.224865625,-0.00976,0.087839998,1019.985958,0.034159999
87.59999847,4.225084698,-0.026839999,0.09026976,537.3103777,0.036599071
87.61999512,4.225303724,0.00732,0.063439995,1010.800627,0.034159999
87.63999939,4.225522833,-0.01952,0.073200002,1484.836617,0.031719998
87.65999603,4.225741858,0.00488,0.070761858,1958.691815,0.03659814
87.68000031,4.225960967,-0.02196,0.075637209,2432.727804,0.031720928
87.69999695,4.226179993,-0.00732,0.068319999,2906.583002,0.034159999
87.72000122,4.226399102,0.00732,0.07564,3380.618992,0.034159999
87.73999786,4.226618128,0.00244,0.07076465,3854.47419,0.03172372
87.76000214,4.226837237,0.00244,0.082959064,4328.51018,0.041477206
87.77999878,4.227056262,0.00732,0.080519997,4802.365377,0.034159999
87.79999542,4.227275288,0.00244,0.070763719,5276.220575,0.03659814
87.81999969,4.227059731,-0.00976,0.080521858,4843.629981,0.031720928
87.83999634,4.22684409,-0.01464,0.0854,4410.858595,0.034159999
87.86000061,4.226628368,-0.00488,0.090279996,3977.922092,0.031719998
87.87999725,4.226412727,-0.00976,0.078087443,3545.150706,0.03416093
87.90000153,4.226197004,-0.00976,0.097594415,3112.214203,0.036600001
87.91999817,4.225981364,-0.00976,0.082959995,2679.442817,0.036600001
87.93999481,4.225765723,-0.00976,0.090279996,2246.671431,0.034159069
87.95999908,4.22555,-0.00488,0.090281858,1813.734928,0.031720928
87.97999573,4.22533436,-0.00244,0.09516,1380.963542,0.034159999
88,4.225118637,-0.0122,0.082959995,948.0270386,0.036600001
88.01999664,4.22533771,-0.01464,0.090282788,903.8080241,0.034159999
88.04000092,4.225556867,-0.0122,0.097595345,859.5721385,0.034158138
88.05999756,4.22577594,-0.00976,0.0854,815.353124,0.029279999
88.08000183,4.225995097,-0.01464,0.087839998,771.1172384,0.031719998
88.09999847,4.22621417,-0.0122,0.102470688,726.8982239,0.034159999
88.11999512,4.226433244,-0.00976,0.078079998,682.6792094,0.034159999
88.13999939,4.226652401,0.01708,0.092720002,638.4433238,0.034159999
88.15999603,4.226871474,-0.00244,0.092719071,594.2243093,0.036597209
88.18000031,4.227090631,-0.0122,0.090273482,549.9884237,0.02928093
88.19999695,4.227309704,-0.00976,0.073200002,505.7694092,0.031719998
88.22000122,4.22796369,-0.01952,0.087839998,504.8675138,0.034159999
88.23999786,4.228617428,-0.00976,0.075641862,503.9659623,0.036599071
88.26000214,4.229271414,-0.00488,0.080520927,503.0640669,0.034159069
88.27999878,4.229925151,-0.02196,0.082959995,502.1625155,0.031719998
88.29999542,4.230578888,-0.00732,0.087839068,501.2609641,0.031719998
88.31999969,4.231232875,-0.0122,0.085394417,500.3590687,0.031720928
88.33999634,4.231886612,-0.0122,0.070759997,499.4575173,0.034159999
88.36000061,4.232540599,-0.01464,0.073200002,498.5556219,0.036600001
88.37999725,4.233194336,0.00244,0.087838137,497.6540704,0.031721859
88.40000153,4.233848322,-0.029279999,0.082950689,496.752175,0.036599071
88.41999817,4.233633014,0,0.058559999,496.9365926,0.034159999
88.43999481,4.233417373,-0.0122,0.075638139,497.1214246,0.029281861
88.45999908,4.23320165,-0.0244,0.070761858,497.3063271,0.034159999
88.47999573,4.23298601,-0.00488,0.07564,497.4911591,0.034159999
88.5,4.232770287,0.00488,0.0854,497.6760617,0.039039999
88.51999664,4.232554646,0.00488,0.070763719,497.8608937,0.034159999
88.54000092,4.232338923,-0.00732,0.080518135,498.0457962,0.034159999
88.55999756,4.232123283,-0.02196,0.07564,498.2306283,0.034159999
88.58000183,4.23190756,-0.026839999,0.073200002,498.4155308,0.036600001
88.59999847,4.23169192,0.00732,0.065886515,498.6003628,0.034159999
88.61999512,4.231910827,-0.01952,0.082959995,498.497339,0.034159999
88.63999939,4.232129984,-0.00732,0.087839998,498.394166,0.034159999
88.65999603,4.232349057,-0.0122,0.095161861,498.2910323,0.031720928
88.68000031,4.232568214,-0.01464,0.100033482,498.1878593,0.034159999
88.69999695,4.232787287,-0.0122,0.082959995,498.0847256,0.034159999
88.72000122,4.233006444,-0.01464,0.092720002,497.9815526,0.036600001
88.73999786,4.233225517,-0.00976,0.087836276,497.8784189,0.029281861
88.76000214,4.233444674,-0.00732,0.078079998,497.7752459,0.034159069
88.77999878,4.233663747,-0.00976,0.078079998,497.6721122,0.031719998
88.79999542,4.23388282,-0.00976,0.053685582,497.5689786,0.034159069
88.81999969,4.23410193,-0.00976,0.068320929,497.527939,0.031722789
88.83999634,4.234320955,-0.00488,0.070759997,497.4869388,0.039039999
88.86000061,4.234540064,-0.01952,0.060999997,497.4459229,0.039039999
88.87999725,4.23475909,-0.0122,0.075636278,497.4049227,0.036599071
88.90000153,4.234978199,-0.00976,0.065884654,497.3639069,0.034158138
88.91999817,4.235197225,-0.0122,0.078079998,497.3229066,0.029279999
88.93999481,4.23541625,-0.00732,0.063441856,497.2819064,0.03416093
88.95999908,4.235635359,-0.00976,0.068324652,497.2408906,0.036599071
88.97999573,4.235854385,-0.00732,0.080519997,497.1998904,0.034159999
89,4.236073494,-0.00488,0.078079998,497.1588745,0.034159999
89.01999664,4.235857853,-0.01464,0.092719071,496.9328867,0.039039069
89.04000092,4.235642131,-0.0122,0.090276274,496.7068126,0.03659814
89.05999756,4.23542649,-0.00732,0.080519997,496.4808247,0.031719998
89.08000183,4.235210767,-0.00976,0.082959995,496.2547507,0.036600001
89.09999847,4.234995127,-0.01952,0.095162792,496.0287628,0.036601862
89.11999512,4.234779486,-0.01952,0.102479994,495.802775,0.041479997
89.13999939,4.234563763,0,0.078079998,495.5767009,0.034159999
89.15999603,4.234348123,-0.026839999,0.08052465,495.350713,0.039038138
89.18000031,4.2341324,0,0.092719071,495.124639,0.03416093
89.19999695,4.233916759,-0.026839999,0.090279996,494.8986511,0.036600001
89.22000122,4.2341359,-0.01708,0.080519997,493.8741357,0.036600001
89.23999786,4.234354956,-0.01952,0.082953481,492.850011,0.03904093
89.26000214,4.234574096,-0.00732,0.06587907,491.8254956,0.041478136
89.27999878,4.234793153,-0.02196,0.063439995,490.8013709,0.036600001
89.29999542,4.235012209,-0.0244,0.06832186,489.7772462,0.036600001
89.31999969,4.235231349,-0.0244,0.073199072,488.7527308,0.036600932
89.33999634,4.235450406,0.00976,0.070759997,487.7286061,0.039039999
89.36000061,4.235669546,-0.00244,0.063439995,486.7040907,0.039039999
89.37999725,4.235888603,0.00488,0.065881862,485.679966,0.039039999
89.40000153,4.236107743,-0.00488,0.07076558,484.6554506,0.039039069
89.41999817,4.23589222,-0.00732,0.0854,461.0824691,0.036600001
89.43999481,4.235676532,-0.0122,0.087838137,437.5008812,0.036600932
89.45999908,4.235460762,-0.00488,0.082959995,413.9102961,0.039039999
89.47999573,4.235245073,-0.0122,0.082959995,390.3287082,0.039039999
89.5,4.235029303,-0.01708,0.078079998,366.7381231,0.039039999
89.51999664,4.234813615,-0.0122,0.080519066,343.1565352,0.036600001
89.54000092,4.234597844,-0.01708,0.078080929,319.5659502,0.036600932
89.55999756,4.234382156,-0.0122,0.080519997,295.9843623,0.039039999
89.58000183,4.234166385,-0.00976,0.073200002,272.3937772,0.036600001
89.59999847,4.233950697,-0.00976,0.080517205,248.8121893,0.039039999
89.61999512,4.234169605,-0.00976,0.073200002,243.5533881,0.039039999
89.63999939,4.234388761,-0.00732,0.082959995,238.2995766,0.034159999
89.65999603,4.234607835,-0.00976,0.085395347,233.0477689,0.039039999
89.68000031,4.234826991,-0.0122,0.073200002,227.7939574,0.039039999
89.69999695,4.235046065,-0.01708,0.073200002,222.5421496,0.039039999
89.72000122,4.235265222,-0.00976,0.078079998,217.2883381,0.034159999
89.73999786,4.235484295,-0.00976,0.06587907,212.0365304,0.039039999
89.76000214,4.235703452,-0.00976,0.063441856,206.7827189,0.039038138
89.77999878,4.235922525,-0.00732,0.068319999,201.5309111,0.034159999
89.79999542,4.236141598,-0.01708,0.068319068,196.2791034,0.03904093
89.81999969,4.236360755,-0.00976,0.065880001,200.7294688,0.041479067
89.83999634,4.236579828,-0.00732,0.065880001,205.181838,0.039039999
89.86000061,4.236798985,-0.034159999,0.068319999,209.635906,0.039039999
89.87999725,4.237018058,0.034159999,0.078079068,214.0882752,0.039039069
89.90000153,4.237237215,-0.01952,0.075634417,218.5423431,0.036600932
89.91999817,4.237456288,0,0.060999997,222.9947124,0.039039999
89.93999481,4.237675362,-0.00976,0.070760927,227.4470816,0.043919999
89.95999908,4.237894518,-0.00732,0.073206516,231.9011495,0.043918138
89.97999573,4.238113592,-0.00488,0.090279996,236.3535187,0.039039999
90,4.238332748,-0.0244,0.092720002,240.8075867,0.039039999
90.01999664,4.238551822,-0.031719998,0.104919069,226.0012007,0.036600001
90.04000092,4.238770978,-0.0244,0.10247348,211.1891656,0.036600001
90.05999756,4.238990052,-0.02196,0.0854,196.3827796,0.036600001
90.08000183,4.239209209,-0.00732,0.09516,181.5707445,0.036600001
90.09999847,4.239428282,0.00244,0.090282788,166.7643585,0.043917207
90.11999512,4.239647355,-0.01952,0.097599998,151.9579725,0.036600001
90.13999939,4.239866512,0.00488,0.090279996,137.1459374,0.039039999
90.15999603,4.240085585,-0.01464,0.090278135,122.3395515,0.039039999
90.18000031,4.240304742,-0.00976,0.085395347,107.5275163,0.039039999
90.19999695,4.240523815,-0.00976,0.073200002,92.72113037,0.039039999
90.22000122,4.240742955,-0.00488,0.070759997,99.29935865,0.034159999
90.23999786,4.240962012,-0.0122,0.075632556,105.8750781,0.039039999
90.26000214,4.241181152,-0.00488,0.056124654,112.4533063,0.039038138
90.27999878,4.241400208,0,0.068319999,119.0290258,0.034159999
90.29999542,4.241619265,-0.00976,0.063442787,125.6047452,0.034161861
90.31999969,4.241838405,-0.00732,0.070759066,132.1829734,0.039039069
90.33999634,4.242057462,-0.00976,0.068319999,138.7586929,0.036600001
90.36000061,4.242276602,-0.0122,0.073200002,145.3369211,0.034159999
90.37999725,4.242495658,-0.00976,0.080519066,151.9126406,0.036599071
90.40000153,4.242714798,-0.00976,0.078078137,158.4908688,0.034161861
90.41999817,4.242933872,-0.00488,0.073200002,158.3394987,0.039039999
90.43999481,4.243152945,-0.0122,0.07564,158.185561,0.039037207
90.45999908,4.243372102,-0.0122,0.075643723,158.0315646,0.031722789
90.47999573,4.243591175,-0.00976,0.0854,157.8776269,0.039039999
90.5,4.243810332,-0.00244,0.082959995,157.7236305,0.039039999
90.51999664,4.244029405,-0.00244,0.097597206,157.5696928,0.04392093
90.54000092,4.244248562,0.00488,0.090280927,157.4156964,0.046357209
90.55999756,4.244467635,-0.00976,0.092720002,157.2617587,0.039039999
90.58000183,4.244686792,-0.00488,0.070759997,157.1077623,0.039039999
90.59999847,4.244905865,-0.00488,0.085403723,156.9538246,0.039039999
90.61999512,4.245124891,-0.00976,0.09516,159.9672832,0.039039999
90.63999939,4.245344,-0.01952,0.090279996,162.9831008,0.039039999
90.65999603,4.245563025,-0.00976,0.090275343,165.9977683,0.039038138
90.68000031,4.245782134,-0.00976,0.07808186,169.013586,0.03416093
90.69999695,4.24600116,-0.0122,0.082959995,172.0282535,0.036600001
90.72000122,4.246220269,-0.00976,0.082959995,175.0440712,0.039039999
90.73999786,4.246439295,0,0.075638139,178.0587387,0.039039999
90.76000214,4.246658404,-0.00244,0.070758136,181.0745563,0.039039069
90.77999878,4.246877429,-0.00244,0.065880001,184.0892238,0.036600001
90.79999542,4.247096455,-0.00732,0.082957203,187.1038913,0.036600932
90.81999969,4.246880898,0.00244,0.075640931,183.9217901,0.03904093
90.83999634,4.246665257,0.00732,0.078079998,180.7385388,0.041479997
90.86000061,4.246449535,0,0.082959995,177.5540729,0.043919999
90.87999725,4.246233894,-0.01464,0.075647445,174.3708215,0.051235344
90.90000153,4.246018171,0.0122,0.095156278,171.1863556,0.039038138
90.91999817,4.245802531,-0.00488,0.0854,168.0031042,0.034159999
90.93999481,4.24558689,0,0.070768372,164.8198528,0.036600001
90.95999908,4.245371167,0.00244,0.092720933,161.6353869,0.036600932
90.97999573,4.245155527,0.00244,0.09516,158.4521356,0.039039999
91,4.244939804,-0.00244,0.087839998,155.2676697,0.039039999
91.01999664,4.244289354,-0.00488,0.087844651,158.1014901,0.041479067
91.04000092,4.243638657,-0.00732,0.100037204,160.9363918,0.03904186
91.05999756,4.242988207,-0.00732,0.092720002,163.7702122,0.043919999
91.08000183,4.242337509,0,0.082959995,166.6051139,0.039039999
91.09999847,4.241687059,0,0.087836276,169.4389343,0.039039999
91.11999512,4.24103661,-0.00244,0.078079998,172.2727548,0.039039999
91.13999939,4.240385912,-0.00488,0.068319999,175.1076564,0.039039999
91.15999603,4.239735462,-0.00732,0.085395347,177.9414769,0.039039999
91.18000031,4.239084764,-0.00244,0.073198141,180.7763785,0.039039999
91.19999695,4.238434315,0,0.068319999,183.610199,0.039039999
91.22000122,4.238218608,-0.00488,0.060999997,187.2676219,0.034159999
91.23999786,4.238002984,-0.00244,0.080516274,190.9236499,0.036600932
91.26000214,4.237787278,-0.01464,0.07076465,194.5810727,0.039039999
91.27999878,4.237571654,-0.00732,0.082959995,198.2371007,0.039039999
91.29999542,4.23735603,-0.00244,0.082960925,201.8931287,0.039039069
91.31999969,4.237140323,-0.00244,0.0854,205.5505516,0.036600932
91.33999634,4.236924699,-0.00732,0.0854,209.2065796,0.039039999
91.36000061,4.236708993,0.00244,0.087839998,212.8640025,0.039039999
91.37999725,4.236493369,-0.00732,0.102479994,216.5200305,0.039038138
91.40000153,4.236277663,0.01464,0.102476272,220.1774534,0.03416093
91.41999817,4.23649657,-0.01464,0.092720002,212.6724452,0.036600001
91.43999481,4.236715643,0,0.080516274,205.1631771,0.039039069
91.45999908,4.2369348,-0.0122,0.070754413,197.6510439,0.036600932
91.47999573,4.237153873,0.00976,0.056120001,190.1417758,0.039039999
91.5,4.23737303,-0.01708,0.07564,182.6296427,0.043919999
91.51999664,4.237592103,-0.01708,0.075635347,175.1203746,0.03416093
91.54000092,4.23781126,-0.01708,0.063439995,167.6082414,0.036599071
91.55999756,4.238030333,-0.00976,0.063439995,160.0989733,0.034159999
91.58000183,4.23824949,-0.01952,0.058559999,152.5868402,0.046360001
91.59999847,4.238468563,-0.034159999,0.060999066,145.0775721,0.036601862
91.61999512,4.238687637,-0.00976,0.058559999,145.0237119,0.041479997
91.63999939,4.238906793,0.00732,0.080519997,144.9726779,0.036600001
91.65999603,4.239125867,-0.0244,0.061001858,144.9216634,0.036600932
91.68000031,4.239345024,0.00732,0.065888376,144.8706294,0.039039069
